,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
0,400000,1590,0,0,0,3180,1590,1590,0,600,1,50,0,220,0,6,0,2,1,1965,-122.1963986,47.3361183,2
1,474250,1390,0,0,0,2200,810,810,0,0,1,0,0,340,0,4,1,0,1,1945,-122.3619131,47.5098741,2
2,667950,1010,0,1515,0,2525,0,0,0,400,0,167,0,0,0,4,1,0,2,2019,-122.1566841,47.4375567,4
3,659000,660,0,540,0,1820,620,620,0,0,1,0,0,100,0,3,1,0,2,2016,-122.3702516,47.5651462,1
4,656500,2310,0,0,0,2310,0,0,0,440,0,40,0,320,0,3,0,0,2,1967,-122.1841944,47.7303893,3
5,675000,1330,0,0,0,1970,1310,640,530,0,1,0,0,150,0,4,1,1,1,1965,-122.1157359,47.6288292,2
6,415000,1420,0,0,0,1750,1370,330,530,0,1,0,0,390,0,3,0,1,1,1960,-122.251946,47.7716141,2
7,160000,1020,410,0,0,1430,1020,0,0,0,0,190,0,0,0,4,0,0,1,1922,-122.2861955,47.4897861,3
8,299000,1120,0,0,0,1120,390,0,0,0,0,0,0,0,0,2,0,0,1,1944,-122.281837,47.4666141,3
9,1210000,770,0,770,0,1540,340,0,0,0,0,110,0,0,0,3,0,1,1,1900,-122.307618,47.6250753,3
10,705000,1060,490,0,0,1550,520,0,0,0,0,0,0,0,0,2,0,0,1,1921,-122.3582545,47.6776218,3
11,337950,1730,0,0,0,1730,0,0,0,460,0,0,0,0,0,4,0,0,2,1967,-122.193943,47.2862944,3
12,360000,1450,0,0,0,1450,0,0,0,0,0,0,0,0,0,3,0,1,1,1954,-122.3593023,47.7621314,3
13,740000,1010,0,1100,0,2110,900,0,0,0,1,90,0,0,0,6,0,1,1,1903,-122.2997481,47.6029458,2
14,584700,850,0,1340,0,2190,0,0,0,360,0,160,0,0,0,4,1,0,2,2018,-122.2974114,47.4948363,4
15,1000000,1280,0,0,0,2220,1280,940,0,0,1,0,0,0,0,4,0,0,2,1952,-122.2836688,47.7476982,2
16,1374990,1110,720,1150,0,4130,1150,1150,0,0,0,50,0,190,0,4,1,1,2,2016,-122.2920511,47.6770114,4
17,535000,1090,0,0,0,1090,1090,0,0,0,1,0,130,0,0,3,0,0,1,1910,-122.3381033,47.6891329,3
18,451050,1820,0,0,0,1820,0,0,0,0,0,0,0,230,0,3,0,1,1,1953,-122.3427982,47.7629109,3
19,650000,980,480,0,0,1460,980,0,300,0,0,0,0,0,0,4,0,0,2,1927,-122.3103736,47.68933,3
20,642000,1420,0,0,0,2190,1420,770,520,0,1,0,0,220,0,3,1,1,1,1963,-122.2265095,47.7201882,2
21,650000,1380,0,1120,0,2500,0,0,0,420,0,50,0,220,0,5,0,1,2,2016,-122.3690812,47.5076596,4
22,850000,1130,0,0,0,1380,1130,250,240,0,0,0,0,0,100,2,0,1,1,1948,-122.2729987,47.6671459,0
23,469950,770,0,0,0,1410,770,640,130,280,1,0,0,470,0,3,0,1,1,1971,-122.1766422,47.7222751,2
24,634000,500,0,480,0,1450,470,470,0,0,1,30,0,400,0,3,0,1,1,2018,-122.3467322,47.6978175,1
25,650000,360,0,360,0,1080,360,360,0,0,1,0,0,0,0,3,0,1,1,2019,-122.2961829,47.6130839,1
26,649950,430,0,430,0,1290,690,430,260,0,1,10,0,320,0,3,0,1,1,2018,-122.3764414,47.6841538,1
27,220000,730,0,0,0,730,0,0,0,0,0,0,0,140,0,1,0,0,1,1918,-122.3853921,47.5391529,3
28,625000,770,0,0,0,1170,730,400,0,0,0,0,0,260,0,3,0,0,1,1928,-122.3214806,47.6933319,3
29,250000,1320,0,0,0,1320,0,0,0,340,0,0,0,0,0,3,0,0,1,1944,-122.3289166,47.4435798,3
30,430000,1710,0,0,0,1710,0,0,0,540,0,220,0,0,0,4,1,1,1,1969,-122.1579475,47.4824913,3
31,630950,1025,0,1462,0,2487,0,0,0,400,0,45,0,0,0,4,0,1,2,2018,-122.1555014,47.4367421,4
32,650000,1660,0,0,0,2630,1660,970,0,0,1,300,0,150,0,4,0,2,1,1957,-122.3403618,47.4443773,2
33,515000,1010,0,740,0,2550,900,800,0,0,1,0,0,520,0,3,0,1,2,1980,-122.512997,47.346533,1
34,1699990,1500,0,1810,0,3310,0,0,0,460,0,240,0,130,0,5,1,0,4,2019,-122.1619362,47.6993824,4
35,1022000,1860,0,0,0,2410,1130,550,570,0,1,460,0,0,0,4,1,1,1,1963,-122.2332381,47.5758207,2
36,225000,840,0,0,0,840,0,0,0,0,0,0,0,0,0,2,0,0,1,1948,-122.205365,47.4894952,3
37,950000,1650,0,0,0,2470,1650,820,530,0,1,200,0,0,0,4,0,0,3,1973,-122.3266659,47.6913957,2
38,250000,960,0,0,0,960,0,0,0,0,0,0,0,150,0,2,0,0,1,1949,-122.3330341,47.5128402,3
39,1050000,1450,0,880,0,2330,0,0,0,0,0,0,0,470,0,4,1,1,2,1943,-122.2929268,47.6851313,4
40,552000,1180,0,0,0,1750,1140,570,440,0,1,0,0,230,0,4,0,1,2,1963,-122.354039,47.7306887,2
41,755000,1230,0,720,0,1950,500,0,0,0,0,0,0,0,0,4,0,1,1,1925,-122.3911488,47.6893316,3
42,866150,1320,0,1580,0,2900,0,0,0,480,0,80,0,0,0,4,1,0,2,2017,-122.1712622,47.5336008,4
